Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),Environment:Wind Speed [m/s](Hourly),ZONE1:Zone People Number Of Occupants [](Hourly),ZONE1:Zone People Total Heat Gain [J](Hourly),ZONE1:Zone Window Heat Gain[W](Hourly),ZONE1:Zone Window Heat Loss[W](Hourly),ZONE1:Zone Transmitted Solar Energy[J](Hourly),ZONE1_FACE_1_WINDOW_1:Window Transmitted Beam Solar [W](Hourly),ZONE1_FACE_1_WINDOW_1:Window Heat Gain [W](Hourly),ZONE1_FACE_1_WINDOW_1:Window Heat Loss [W](Hourly),ZONE1:Zone Mean Radiant Temperature [C](Hourly),ZONE1:Zone Mean Air Temperature [C](Hourly),ZONE1:Zone Operative Temperature [C](Hourly)
 01/02  15:00:00,12.8375,2.1,7.06063104,3050192.60928,715.7145516346,0,2124780.81051302,198.8610197424,381.2019148807,0,21.7541239522,22,21.8770619761
 01/02  16:00:00,12.575,2.725,7.06063104,3050192.60928,39.863121195,17.3442814055,391799.94506246,7.7220010446,20.2610963361,4.9205228682,21.1790395065,22,21.5895197533
 01/02  17:00:00,11.7375,3.725,7.06063104,3050192.60928,0,136.6058998475,25592.5682947952,0,0,46.382482883,20.9148840663,22,21.4574420332
 01/02  18:00:00,10.7875,1.5375,5.20257024,2247510.34368,0,157.8672910727,0,0,0,53.8403296087,20.713259379,22,21.3566296895
 01/02  19:00:00,11.2875,0,2.97289728,1284291.62496,0,154.0139080646,0,0,0,52.6570962098,20.5182118719,22,21.259105936
 01/02  20:00:00,11.7,0.9375,2.97289728,1284291.62496,0,119.8615429638,0,0,0,40.8784073432,18.90370716,15.081832527,16.9927698435
 01/02  21:00:00,10.6375,1.5,0.74322432,321072.90624,0,116.3131666503,0,0,0,39.6848883914,17.8300081443,15.2272290665,16.5286186054
 01/02  22:00:00,9.3125,0.5625,0.74322432,321072.90624,0,126.4922707671,0,0,0,43.095643496,17.3131814059,15.0000016185,16.1565915122
 01/02  23:00:00,9.2125,0,0.37161216,160536.45312,0,124.8774194112,0,0,0,42.5877555756,16.9943898164,15.0015887218,15.9979892691
 01/02  24:00:00,9.0875,0,0.37161216,160536.45312,0,124.3517382293,0,0,0,42.4775247706,16.7573316636,15,15.8786658318
 01/03  01:00:00,9.2125,1.625,0,0,0,123.7577218006,0,0,0,42.1939908842,16.7739884126,15.9996077915,16.3867981021
 01/03  02:00:00,9.775,4.225,0,0,0,117.8405945338,0,0,0,40.2418672574,16.8275361233,16.2175916549,16.5225638891
 01/03  03:00:00,11.375,2.8875,0,0,0,97.3666242518,0,0,0,33.2539671547,16.8138601176,16.3451549248,16.5795075212
 01/03  04:00:00,13.2625,5.6875,0,0,0,71.3110444604,0,0,0,24.4596230101,16.8678524141,16.5613972117,16.7146248129
 01/03  05:00:00,13.2125,10.1375,0,0,0,70.9635437936,0,0,0,24.4251206567,16.9064800345,16.6072983697,16.7568892021
 01/03  06:00:00,12.425,10.675,0,0,0,108.1081728514,0,0,0,37.136103035,18.1336610936,21.9424714953,20.0380662945
 01/03  07:00:00,11.5125,10.3,0.74322432,321072.90624,0,138.5946366406,0,0,0,47.4114688718,18.9746573915,21.9999997384,20.487328565
 01/03  08:00:00,11.1,8.9875,1.48644864,642145.812480001,172.1322579966,72.9492885361,599262.213594135,31.374936376,49.3326499913,24.9528460579,19.3999633515,21.9999999994,20.6999816754
 01/03  09:00:00,11.475,5.6375,7.06063104,3050192.60928,989.2414534294,0,2793026.6960268,199.9720242855,363.1989415813,0,20.3970572516,22,21.1985286258
 01/03  10:00:00,12.7,3.1625,7.06063104,3050192.60928,1515.7877064974,0,4078606.7946853,345.9665793525,642.7757764638,0,21.105916431,22,21.5529582155
 01/03  11:00:00,12.6125,3.5375,7.06063104,3050192.60928,1639.7720290831,0,4392820.85457936,431.330756442,810.9619069471,0,21.5074995387,22,21.7537497693
 01/03  12:00:00,13.95,3.1625,7.06063104,3050192.60928,1426.6601971968,0,3869358.30244811,396.0640849901,788.0236721576,0,21.6146543286,22,21.8073271643
 01/03  13:00:00,15.375,2.2875,3.7161216,1605364.5312,1644.5105303864,0,4377222.05373623,499.8246418864,946.1909085092,0,21.9942749136,22,21.9971374568
 01/03  14:00:00,15.9125,0.7875,7.06063104,3050192.60928,1481.9101812919,0,3940026.66882521,426.4512900821,827.2679939671,0,22.2447078855,22,22.1223539428
 01/03  15:00:00,16.1,0.9375,7.06063104,3050192.60928,613.0060313399,0,1762725.22585295,144.1801435429,316.021922013,0,21.8133547149,22,21.9066773575
 01/03  16:00:00,14.725,1.875,7.06063104,3050192.60928,47.8611995915,10.1644085074,366270.136800916,4.5807727716,21.55025982,3.1368441072,21.307850995,22,21.6539254975
 01/03  17:00:00,13.9,0.7875,7.06063104,3050192.60928,0,109.4895988692,24429.4390744559,0,0,37.3051954636,21.0664480637,22,21.5332240319
 01/03  18:00:00,13.2125,1.3125,5.20257024,2247510.34368,0,129.8582171142,0,0,0,44.4220153979,20.8757452955,22,21.4378726478
 01/03  19:00:00,12.425,1.725,2.97289728,1284291.62496,0,141.5482153303,0,0,0,48.4217582835,20.6661637798,22,21.3330818899
 01/03  20:00:00,11.2,0.5625,2.97289728,1284291.62496,0,125.1086272953,0,0,0,42.65030013,19.0244917838,15.0870064188,17.0557491013
 01/03  21:00:00,10.225,1.3125,0.74322432,321072.90624,0,118.9335328209,0,0,0,40.484457666,17.9151535588,15.1318705058,16.5235120323
