Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),ZONE1:Zone People Number Of Occupants [](Hourly),ZONE1:Zone People Total Heat Gain [J](Hourly),ZONE1:Zone Operative Temperature [C](Hourly)
 01/05  04:00:00,4.3125,0,0,15.9502108194
 01/05  05:00:00,4.2125,0,0,15.7774158387
 01/05  06:00:00,4.0875,0,0,19.8272508761
 01/05  07:00:00,5.275,0.74322432,321072.90624,20.3509835721
 01/05  08:00:00,6.475,1.48644864,642145.812480001,20.5435620182
 01/05  09:00:00,7.0125,7.06063104,3050192.60928,20.9488624509
 01/05  10:00:00,7.2,7.06063104,3050192.60928,21.1651741329
 01/05  11:00:00,7.8875,7.06063104,3050192.60928,21.5836035517
 01/05  12:00:00,8.675,7.06063104,3050192.60928,21.8258581365
 01/05  13:00:00,9.2125,3.7161216,1605364.5312,22.0424583732
 01/05  14:00:00,10.15,7.06063104,3050192.60928,22.224463513
 01/05  15:00:00,10.9125,7.06063104,3050192.60928,21.9744498447
 01/05  16:00:00,10.4125,7.06063104,3050192.60928,21.6084050871
 01/05  17:00:00,10.375,7.06063104,3050192.60928,21.471227454
 01/05  18:00:00,9.85,5.20257024,2247510.34368,21.3712969939
 01/05  19:00:00,9.0875,2.97289728,1284291.62496,21.2646009871
 01/05  20:00:00,8.9,2.97289728,1284291.62496,16.9571624265
 01/05  21:00:00,8.2125,0.74322432,321072.90624,16.3687816001
 01/05  22:00:00,8.1125,0.74322432,321072.90624,16.1517477304
 01/05  23:00:00,7.9875,0.37161216,160536.45312,15.9969210057
 01/05  24:00:00,7.425,0.37161216,160536.45312,15.8822448358
 01/06  01:00:00,7.2,0,0,16.2891084473
 01/06  02:00:00,6.8875,0,0,16.3248673299
 01/06  03:00:00,6.7,0,0,16.2204361812
 01/06  04:00:00,6.7,0,0,16.1268492327
 01/06  05:00:00,6.325,0,0,16.0115762127
 01/06  06:00:00,6.1,0,0,15.8958522564
 01/06  07:00:00,5.7875,0.74322432,321072.90624,19.8328361868
 01/06  08:00:00,5.225,0.74322432,321072.90624,20.449566966
 01/06  09:00:00,5.375,3.7161216,1605364.5312,20.989970347
 01/06  10:00:00,5.9125,3.7161216,1605364.5312,21.2729219663
 01/06  11:00:00,6.475,3.7161216,1605364.5312,21.2238207139
 01/06  12:00:00,6.7,3.7161216,1605364.5312,21.2241735944
 01/06  13:00:00,7.0125,3.7161216,1605364.5312,21.675080466
 01/06  14:00:00,7.575,3.7161216,1605364.5312,21.8196781485
 01/06  15:00:00,8.1125,0.74322432,321072.90624,21.6114464347
 01/06  16:00:00,8.3,0.74322432,321072.90624,21.3293285365
 01/06  17:00:00,8.3,0.74322432,321072.90624,21.2216372762
 01/06  18:00:00,8.3,0,0,19.4717146105
 01/06  19:00:00,8.3,0,0,18.4798136305
 01/06  20:00:00,7.9875,0,0,18.0184811604
 01/06  21:00:00,7.1125,0,0,17.6079237873
 01/06  22:00:00,6.7,0,0,17.2594305157
 01/06  23:00:00,8.7625,0,0,17.141849406
 01/06  24:00:00,9.3125,0,0,17.0553145046
 01/07  01:00:00,9.2125,0,0,16.8963552996
 01/07  02:00:00,9.0875,0,0,16.792997862
 01/07  03:00:00,7.15,0,0,16.5557317381
 01/07  04:00:00,6.475,0,0,16.3336855715
 01/07  05:00:00,7.0125,0,0,16.2488763266
 01/07  06:00:00,7.8875,0,0,16.2107537266
 01/07  07:00:00,7.9875,0,0,16.1573831125
 01/07  08:00:00,8.4875,0,0,16.1229093323
 01/07  09:00:00,8.9,0,0,16.1903667033
 01/07  10:00:00,9.5875,0,0,16.3736248221
 01/07  11:00:00,8.625,0,0,16.6487877046
 01/07  12:00:00,7.8,0,0,16.4532974409
 01/07  13:00:00,8.4875,0,0,16.7614433496
 01/07  14:00:00,8.9,0,0,17.5398183335
 01/07  15:00:00,9.5875,0,0,17.5140750545
 01/07  16:00:00,9.625,0,0,17.2929386283
 01/07  17:00:00,9.0875,0,0,17.0478627112
 01/07  18:00:00,8.525,0,0,16.8775452895
 01/07  19:00:00,7.9875,0,0,16.6928481737
 01/07  20:00:00,7.425,0,0,16.4829530383
 01/07  21:00:00,6.8875,0,0,16.2693549689
 01/07  22:00:00,6.7,0,0,16.0916873548
 01/07  23:00:00,6.325,0,0,15.9298868482
 01/07  24:00:00,5.7875,0,0,15.7556202911
 01/08  01:00:00,5.6,0,0,15.6231449576
 01/08  02:00:00,5.225,0,0,15.5053116654
 01/08  03:00:00,5,0,0,15.4462798228
 01/08  04:00:00,5,0,0,15.4181917049
 01/08  05:00:00,4.625,0,0,15.3923125556
 01/08  06:00:00,4.4,0,0,19.6456404017
 01/08  07:00:00,4.0875,0.74322432,321072.90624,20.2162994064
 01/08  08:00:00,3.9,1.48644864,642145.812480001,20.4622958792
 01/08  09:00:00,3.9625,7.06063104,3050192.60928,21.0717009043
 01/08  10:00:00,6.375,7.06063104,3050192.60928,21.5193276113
 01/08  11:00:00,8.55,7.06063104,3050192.60928,21.7838789981
 01/08  12:00:00,9.625,7.06063104,3050192.60928,21.958736475
 01/08  13:00:00,11.875,3.7161216,1605364.5312,22.097838134
 01/08  14:00:00,12.375,7.06063104,3050192.60928,22.1351154064
 01/08  15:00:00,13.25,7.06063104,3050192.60928,21.9424314924
 01/08  16:00:00,13.9375,7.06063104,3050192.60928,21.6161273253
 01/08  17:00:00,11.8375,7.06063104,3050192.60928,21.4654206303
 01/08  18:00:00,11.2875,5.20257024,2247510.34368,21.3617316682
 01/08  19:00:00,10.6375,2.97289728,1284291.62496,21.2537111366
 01/08  20:00:00,9.3125,2.97289728,1284291.62496,16.934559577
 01/08  21:00:00,8.9,0.74322432,321072.90624,16.3523332186
 01/08  22:00:00,9.2125,0.74322432,321072.90624,16.1380776083
 01/08  23:00:00,9.4,0.37161216,160536.45312,16.0042700965
 01/08  24:00:00,9.0875,0.37161216,160536.45312,15.8755703501
 01/09  01:00:00,8.2125,0,0,16.3170008187
 01/09  02:00:00,9.175,0,0,16.4449497612
 01/09  03:00:00,8.9375,0,0,16.4057368736
 01/09  04:00:00,6.925,0,0,16.1490478866
 01/09  05:00:00,6.7875,0,0,15.9701985798
 01/09  06:00:00,6.8875,0,0,19.8531769664
 01/09  07:00:00,6.325,0.74322432,321072.90624,20.3499908516
 01/09  08:00:00,6.1,1.48644864,642145.812480001,20.5654571233
 01/09  09:00:00,6.6625,7.06063104,3050192.60928,21.1195674939
 01/09  10:00:00,7.125,7.06063104,3050192.60928,21.4747210887
 01/09  11:00:00,7.7,7.06063104,3050192.60928,21.7217919921
 01/09  12:00:00,8,7.06063104,3050192.60928,21.8922902399
 01/09  13:00:00,8.625,3.7161216,1605364.5312,22.0291451522
 01/09  14:00:00,9,7.06063104,3050192.60928,22.0011589808
 01/09  15:00:00,10.25,7.06063104,3050192.60928,21.8354797894
 01/09  16:00:00,10.8125,7.06063104,3050192.60928,21.5411397817
 01/09  17:00:00,10.2625,7.06063104,3050192.60928,21.4227090691
 01/09  18:00:00,10,5.20257024,2247510.34368,21.3327625266
 01/09  19:00:00,9.625,2.97289728,1284291.62496,21.2361368711
 01/09  20:00:00,9.0875,2.97289728,1284291.62496,16.9312317361
 01/09  21:00:00,8.525,0.74322432,321072.90624,16.3482956909
 01/09  22:00:00,7.9875,0.74322432,321072.90624,16.1297897443
 01/09  23:00:00,7.1125,0.37161216,160536.45312,15.9707123261
 01/09  24:00:00,6.7,0.37161216,160536.45312,15.8546872677
 01/10  01:00:00,6.7,0,0,16.1982753652
 01/10  02:00:00,6.7,0,0,16.2224474525
 01/10  03:00:00,6.325,0,0,16.1024177152
 01/10  04:00:00,6.1,0,0,15.9722740808
 01/10  05:00:00,6.1,0,0,15.8658990831
 01/10  06:00:00,6.1,0,0,19.8295577852
 01/10  07:00:00,5.0375,0.74322432,321072.90624,20.3436418629
 01/10  08:00:00,5.15,1.48644864,642145.812480001,20.5664366416
 01/10  09:00:00,6.35,7.06063104,3050192.60928,21.1145315727
 01/10  10:00:00,6.8,7.06063104,3050192.60928,21.4093300707
 01/10  11:00:00,6.9875,7.06063104,3050192.60928,21.5750331354
 01/10  12:00:00,7.35,7.06063104,3050192.60928,21.7326402907
 01/10  13:00:00,8.0625,3.7161216,1605364.5312,21.9017375574
 01/10  14:00:00,8.3375,7.06063104,3050192.60928,22.0073076891
 01/10  15:00:00,9.175,7.06063104,3050192.60928,21.8656156572
 01/10  16:00:00,9.8875,7.06063104,3050192.60928,21.5441209411
 01/10  17:00:00,9.3125,7.06063104,3050192.60928,21.4117976164
 01/10  18:00:00,8.525,5.20257024,2247510.34368,21.314123718
 01/10  19:00:00,7.9875,2.97289728,1284291.62496,21.2144367042
 01/10  20:00:00,7.425,2.97289728,1284291.62496,16.921017273
 01/10  21:00:00,6.8875,0.74322432,321072.90624,16.324159735
 01/10  22:00:00,6.7,0.74322432,321072.90624,16.1063005522
 01/10  23:00:00,6.7,0.37161216,160536.45312,15.9548392819
 01/10  24:00:00,6.7,0.37161216,160536.45312,15.8473719371
 01/11  01:00:00,6.0125,0,0,16.1551351602
 01/11  02:00:00,5.9125,0,0,16.1411856959
 01/11  03:00:00,5.7875,0,0,16.0392919148
 01/11  04:00:00,4.5375,0,0,15.8401734378
 01/11  05:00:00,4.5875,0,0,15.6945002542
 01/11  06:00:00,4.3125,0,0,19.7975072928
 01/11  07:00:00,4.5875,0.74322432,321072.90624,20.3270932161
 01/11  08:00:00,4.625,1.48644864,642145.812480001,20.5225126458
 01/11  09:00:00,5.4,7.06063104,3050192.60928,20.9316767889
 01/11  10:00:00,6.0625,7.06063104,3050192.60928,21.115507696
 01/11  11:00:00,6.0375,7.06063104,3050192.60928,21.5732012532
 01/11  12:00:00,6.625,7.06063104,3050192.60928,21.7746758801
 01/11  13:00:00,7.625,3.7161216,1605364.5312,21.7257302141
 01/11  14:00:00,8,7.06063104,3050192.60928,22.0441381026
 01/11  15:00:00,8.625,7.06063104,3050192.60928,21.8680634311
 01/11  16:00:00,9.625,7.06063104,3050192.60928,21.5266028583
 01/11  17:00:00,9.625,7.06063104,3050192.60928,21.3992933973
 01/11  18:00:00,9.4,5.20257024,2247510.34368,21.3107595922
 01/11  19:00:00,9.775,2.97289728,1284291.62496,21.2240351364
 01/11  20:00:00,10,2.97289728,1284291.62496,16.9299766686
 01/11  21:00:00,10,0.74322432,321072.90624,16.3838888237
 01/11  22:00:00,10,0.74322432,321072.90624,16.1734354608
 01/11  23:00:00,10,0.37161216,160536.45312,16.2042995781
 01/11  24:00:00,10,0.37161216,160536.45312,16.0483189772
 01/12  01:00:00,10,0,0,16.6421906067
 01/12  02:00:00,10,0,0,16.8162851995
 01/12  03:00:00,8.9375,0,0,16.7205433587
 01/12  04:00:00,7.9875,0,0,16.5557590058
 01/12  05:00:00,7.425,0,0,16.4101927786
 01/12  06:00:00,6.8875,0,0,20.0046459125
 01/12  07:00:00,7.0125,0.74322432,321072.90624,20.4577255963
 01/12  08:00:00,7.2,1.48644864,642145.812480001,20.6642270909
 01/12  09:00:00,6.8875,7.06063104,3050192.60928,21.1784411481
 01/12  10:00:00,7.0125,7.06063104,3050192.60928,21.5931134982
 01/12  11:00:00,7.575,7.06063104,3050192.60928,21.8914394873
 01/12  12:00:00,8.8,7.06063104,3050192.60928,22.0757818513
 01/12  13:00:00,10.15,3.7161216,1605364.5312,22.2248822661
 01/12  14:00:00,9.85,7.06063104,3050192.60928,22.2497282224
 01/12  15:00:00,11.8375,7.06063104,3050192.60928,22.0037605731
 01/12  16:00:00,11.925,7.06063104,3050192.60928,21.6716793575
 01/12  17:00:00,10.4125,7.06063104,3050192.60928,21.5234678236
 01/12  18:00:00,9.625,5.20257024,2247510.34368,21.4107316066
 01/12  19:00:00,9.4,2.97289728,1284291.62496,21.3061299853
 01/12  20:00:00,9.4,2.97289728,1284291.62496,17.0020934953
 01/12  21:00:00,9.4,0.74322432,321072.90624,16.4340814035
 01/12  22:00:00,9.775,0.74322432,321072.90624,16.2366809806
 01/12  23:00:00,10,0.37161216,160536.45312,16.3197874121
 01/12  24:00:00,10,0.37161216,160536.45312,16.1775357061
 01/13  01:00:00,9.625,0,0,16.7519888366
 01/13  02:00:00,9.4,0,0,16.8853942746
 01/13  03:00:00,9.4,0,0,16.8459856417
 01/13  04:00:00,9.4,0,0,16.7938459928
 01/13  05:00:00,9.775,0,0,16.7672740758
 01/13  06:00:00,9.625,0,0,16.7208273704
 01/13  07:00:00,9.4,0.74322432,321072.90624,20.0976053581
 01/13  08:00:00,9.4,0.74322432,321072.90624,20.5465873443
 01/13  09:00:00,9.4,3.7161216,1605364.5312,20.7078505584
 01/13  10:00:00,9.0875,3.7161216,1605364.5312,20.8012119802
 01/13  11:00:00,10.275,3.7161216,1605364.5312,20.9188845361
 01/13  12:00:00,11.475,3.7161216,1605364.5312,21.2318478831
 01/13  13:00:00,11.8875,3.7161216,1605364.5312,21.6644958389
 01/13  14:00:00,11.4375,3.7161216,1605364.5312,21.7951536826
 01/13  15:00:00,11.1,0.74322432,321072.90624,21.585061502
 01/13  16:00:00,10.4125,0.74322432,321072.90624,21.3672683387
 01/13  17:00:00,10,0.74322432,321072.90624,21.2640057309
 01/13  18:00:00,10,0,0,19.6621978867
 01/13  19:00:00,10,0,0,18.7531239266
 01/13  20:00:00,9.625,0,0,18.3313244307
 01/13  21:00:00,9.0875,0,0,17.9714578095
 01/13  22:00:00,8.525,0,0,17.6568324338
 01/13  23:00:00,7.9875,0,0,17.3689667967
 01/13  24:00:00,8.1125,0,0,17.1436592296
 01/14  01:00:00,7.9875,0,0,16.9447799308
 01/14  02:00:00,8.4875,0,0,16.8033717943
 01/14  03:00:00,8.2125,0,0,16.67530114
 01/14  04:00:00,8.1125,0,0,16.5434868326
 01/14  05:00:00,8.675,0,0,16.5002830091
 01/14  06:00:00,8.2125,0,0,16.4103645013
 01/14  07:00:00,7.425,0,0,16.2691132471
 01/14  08:00:00,7.2,0,0,16.2319953307
 01/14  09:00:00,6.8875,0,0,16.2992344303
 01/14  10:00:00,7.0125,0,0,16.486088227
 01/14  11:00:00,7.575,0,0,17.0272263243
 01/14  12:00:00,8.8,0,0,17.8235521078
 01/14  13:00:00,10.4625,0,0,18.364345066
 01/14  14:00:00,10.7875,0,0,18.9949948633
 01/14  15:00:00,10.6,0,0,18.4694162745
 01/14  16:00:00,10.9125,0,0,18.2162361183
 01/14  17:00:00,11.7875,0,0,18.0203252196
 01/14  18:00:00,11.8875,0,0,17.8769001449
 01/14  19:00:00,11.325,0,0,17.677403313
 01/14  20:00:00,10.7875,0,0,17.4539643337
 01/14  21:00:00,10.9125,0,0,17.2869494044
 01/14  22:00:00,11.475,0,0,17.2037779518
 01/14  23:00:00,11.7,0,0,17.1296860644
 01/14  24:00:00,11.0125,0,0,17.0033782901
 01/15  01:00:00,10.225,0,0,16.8206011683
 01/15  02:00:00,10,0,0,16.7164100195
 01/15  03:00:00,9.625,0,0,16.6494355416
 01/15  04:00:00,9.0875,0,0,16.5463485301
 01/15  05:00:00,9.2125,0,0,16.4768749737
 01/15  06:00:00,9.775,0,0,16.4551989644
 01/15  07:00:00,10,0,0,16.4288884712
 01/15  08:00:00,9.625,0,0,16.391667349
 01/15  09:00:00,9.775,0,0,16.5844039753
 01/15  10:00:00,10,0,0,17.6149644901
 01/15  11:00:00,11.0625,0,0,17.2109377461
 01/15  12:00:00,11.7,0,0,17.4302159596
 01/15  13:00:00,11.325,0,0,17.526450763
 01/15  14:00:00,11.475,0,0,17.8616778258
 01/15  15:00:00,12.7,0,0,17.8211910003
 01/15  16:00:00,12.9875,0,0,17.8046310031
 01/15  17:00:00,12.8,0,0,17.7148308594
 01/15  18:00:00,12.1125,0,0,17.6069327369
 01/15  19:00:00,12.7,0,0,17.5433681776
 01/15  20:00:00,13.3,0,0,17.5236777746
 01/15  21:00:00,12.6125,0,0,17.3937736208
 01/15  22:00:00,13.2625,0,0,17.3237203107
 01/15  23:00:00,13.9,0,0,17.3423396019
 01/15  24:00:00,13.9,0,0,17.3255807157
 01/16  01:00:00,13.525,0,0,17.3106213425
 01/16  02:00:00,13.3,0,0,17.2720696836
 01/16  03:00:00,12.9875,0,0,17.2300802537
 01/16  04:00:00,12.8,0,0,17.1836979434
 01/16  05:00:00,12.425,0,0,17.1307995864
 01/16  06:00:00,12.2,0,0,20.1998743221
 01/16  07:00:00,12.2,0.74322432,321072.90624,20.5931388231
 01/16  08:00:00,12.2,1.48644864,642145.812480001,20.7060651501
 01/16  09:00:00,12.2,7.06063104,3050192.60928,20.8920576383
 01/16  10:00:00,12.2,7.06063104,3050192.60928,21.1964286138
 01/16  11:00:00,13.2625,7.06063104,3050192.60928,21.3048869873
 01/16  12:00:00,14.2125,7.06063104,3050192.60928,21.2485014871
