Date/Time,Environment:Outdoor Dry Bulb [C](Hourly),ZONE1:Zone People Number Of Occupants [](Hourly),ZONE1:Zone People Total Heat Gain [J](Hourly),ZONE1:Zone Operative Temperature [C](Hourly)
 03/07  24:00:00,9.775,0.37161216,160536.45312,16.7418002197
 03/08  01:00:00,9.3125,0,0,17.3594082508
 03/08  02:00:00,8.9,0,0,17.44468536
 03/08  03:00:00,8.525,0,0,17.3368458617
 03/08  04:00:00,7.9875,0,0,17.1908435865
 03/08  05:00:00,7.8,0,0,17.0635350078
 03/08  06:00:00,7.425,0,0,20.2598418087
 03/08  07:00:00,7.2,0.74322432,321072.90624,20.6751887423
 03/08  08:00:00,8.575,1.48644864,642145.812480001,20.8660227922
 03/08  09:00:00,10.15,7.06063104,3050192.60928,21.0841548931
 03/08  10:00:00,11.6,7.06063104,3050192.60928,21.3642431855
 03/08  11:00:00,12.8875,7.06063104,3050192.60928,21.5490506566
 03/08  12:00:00,14.3625,7.06063104,3050192.60928,21.6718907817
 03/08  13:00:00,16.0625,3.7161216,1605364.5312,21.8030909036
 03/08  14:00:00,16.7,7.06063104,3050192.60928,21.9571492487
 03/08  15:00:00,16.7,7.06063104,3050192.60928,21.9722612902
 03/08  16:00:00,16.0125,7.06063104,3050192.60928,21.9959316962
 03/08  17:00:00,14.85,7.06063104,3050192.60928,21.9559457148
 03/08  18:00:00,13.025,5.20257024,2247510.34368,21.8385006236
 03/08  19:00:00,11.5125,2.97289728,1284291.62496,21.6747270355
 03/08  20:00:00,10.7875,2.97289728,1284291.62496,17.323138478
 03/08  21:00:00,10.225,0.74322432,321072.90624,17.0340421384
 03/08  22:00:00,10,0.74322432,321072.90624,16.5916836261
 03/08  23:00:00,10,0.37161216,160536.45312,16.7702023244
 03/08  24:00:00,10.375,0.37161216,160536.45312,16.7069186021
 03/09  01:00:00,9.85,0,0,17.2969172381
 03/09  02:00:00,9.4,0,0,17.3882081165
 03/09  03:00:00,9.4,0,0,17.3263035606
 03/09  04:00:00,9.0875,0,0,17.2219321382
 03/09  05:00:00,9.5875,0,0,17.1558189404
 03/09  06:00:00,9.625,0,0,20.2726928111
 03/09  07:00:00,9.775,0.74322432,321072.90624,20.6754457397
 03/09  08:00:00,10.6875,1.48644864,642145.812480001,20.8196022005
 03/09  09:00:00,11.7875,7.06063104,3050192.60928,20.9695224352
 03/09  10:00:00,12.575,7.06063104,3050192.60928,21.1084898639
 03/09  11:00:00,13.4875,7.06063104,3050192.60928,21.3367342669
 03/09  12:00:00,14.5875,7.06063104,3050192.60928,21.5292869035
 03/09  13:00:00,15,3.7161216,1605364.5312,21.5839233766
 03/09  14:00:00,15.375,7.06063104,3050192.60928,21.7359403251
 03/09  15:00:00,15.6,7.06063104,3050192.60928,21.7806253947
 03/09  16:00:00,14.1625,7.06063104,3050192.60928,21.7875139615
 03/09  17:00:00,12.9875,7.06063104,3050192.60928,21.7713418859
 03/09  18:00:00,12.425,5.20257024,2247510.34368,21.694075107
 03/09  19:00:00,12.2,2.97289728,1284291.62496,21.5590854779
 03/09  20:00:00,11.8875,2.97289728,1284291.62496,17.2748406112
 03/09  21:00:00,11.7,0.74322432,321072.90624,17.2688615504
 03/09  22:00:00,11.7,0.74322432,321072.90624,17.0253124632
 03/09  23:00:00,11.325,0.37161216,160536.45312,17.1147102186
 03/09  24:00:00,11.1,0.37161216,160536.45312,16.9275883351
 03/10  01:00:00,11.1,0,0,17.4603195319
 03/10  02:00:00,10.7875,0,0,17.5661404742
 03/10  03:00:00,9.85,0,0,17.4328664479
 03/10  04:00:00,10.4625,0,0,17.3698333927
 03/10  05:00:00,11.475,0,0,17.4018047581
 03/10  06:00:00,11.7,0,0,17.3880814158
 03/10  07:00:00,11.7,0.74322432,321072.90624,20.3273559779
 03/10  08:00:00,11.7,0.74322432,321072.90624,20.7319537635
 03/10  09:00:00,12.3875,3.7161216,1605364.5312,20.8986986935
 03/10  10:00:00,13.4875,3.7161216,1605364.5312,21.0187698732
 03/10  11:00:00,13.9,3.7161216,1605364.5312,21.1300979539
 03/10  12:00:00,14.9625,3.7161216,1605364.5312,21.2293318093
 03/10  13:00:00,15.225,3.7161216,1605364.5312,21.310843113
 03/10  14:00:00,14.625,3.7161216,1605364.5312,21.3703565015
 03/10  15:00:00,14.4,0.74322432,321072.90624,21.3779246169
 03/10  16:00:00,14.0875,0.74322432,321072.90624,21.3817470491
 03/10  17:00:00,13.525,0.74322432,321072.90624,21.3638094376
 03/10  18:00:00,12.9875,0,0,20.1330653727
 03/10  19:00:00,12.425,0,0,19.3807866624
 03/10  20:00:00,12.2,0,0,19.0707140233
 03/10  21:00:00,11.8875,0,0,18.8230379829
 03/10  22:00:00,11.325,0,0,18.5749838702
 03/10  23:00:00,11.1,0,0,18.3651899177
 03/10  24:00:00,10.7875,0,0,18.1805444175
 03/11  01:00:00,10.225,0,0,17.9796373482
 03/11  02:00:00,10,0,0,17.8027791646
 03/11  03:00:00,9.625,0,0,17.6330793313
 03/11  04:00:00,9.0875,0,0,17.4457208686
 03/11  05:00:00,8.525,0,0,17.2604233315
 03/11  06:00:00,8.675,0,0,17.1243756548
 03/11  07:00:00,8.9,0,0,17.0769309629
 03/11  08:00:00,10.9625,0,0,17.4411723911
 03/11  09:00:00,12.8875,0,0,18.0525575332
 03/11  10:00:00,13.675,0,0,18.5790020616
 03/11  11:00:00,13.9,0,0,19.0307977274
 03/11  12:00:00,15.65,0,0,19.4660342944
 03/11  13:00:00,17.3875,0,0,20.019076741
 03/11  14:00:00,17.1125,0,0,20.3369487378
 03/11  15:00:00,16.7,0,0,20.3565319908
 03/11  16:00:00,16.7,0,0,20.3770008088
 03/11  17:00:00,16.0125,0,0,20.2357432
 03/11  18:00:00,14.85,0,0,19.9383302099
 03/11  19:00:00,14.0875,0,0,19.5733411254
 03/11  20:00:00,13.525,0,0,19.2624425629
 03/11  21:00:00,13.3,0,0,18.9830712771
 03/11  22:00:00,15.425,0,0,18.9028708489
 03/11  23:00:00,15.6375,0,0,18.8189565416
 03/11  24:00:00,15,0,0,18.6054610257
 03/12  01:00:00,13.625,0,0,18.3770843645
 03/12  02:00:00,12.8,0,0,18.1344326023
 03/12  03:00:00,14.8625,0,0,18.1417025974
 03/12  04:00:00,15.4125,0,0,18.1576823769
 03/12  05:00:00,15,0,0,18.0550127983
 03/12  06:00:00,14.625,0,0,20.4974491977
 03/12  07:00:00,14.775,0.74322432,321072.90624,20.8696625164
 03/12  08:00:00,15.375,1.48644864,642145.812480001,21.1958402823
 03/12  09:00:00,16.2875,7.06063104,3050192.60928,21.4859613519
 03/12  10:00:00,17.7,7.06063104,3050192.60928,21.6647383177
 03/12  11:00:00,19.3625,7.06063104,3050192.60928,21.813444207
 03/12  12:00:00,20.6875,7.06063104,3050192.60928,21.9070963295
 03/12  13:00:00,21.7875,3.7161216,1605364.5312,22.1202324868
 03/12  14:00:00,22.8875,7.06063104,3050192.60928,22.7888444211
 03/12  15:00:00,23.675,7.06063104,3050192.60928,23.2761838069
 03/12  16:00:00,23.9,7.06063104,3050192.60928,23.4869384131
 03/12  17:00:00,23.525,7.06063104,3050192.60928,23.3239773766
 03/12  18:00:00,22.3,5.20257024,2247510.34368,22.6130446576
 03/12  19:00:00,19.95,2.97289728,1284291.62496,22.0719812244
 03/12  20:00:00,17.8375,2.97289728,1284291.62496,20.1468728798
 03/12  21:00:00,16.5125,0.74322432,321072.90624,19.7046551474
 03/12  22:00:00,15.4125,0.74322432,321072.90624,19.106039524
 03/12  23:00:00,13.9375,0.37161216,160536.45312,18.7392867804
 03/12  24:00:00,12.9875,0.37161216,160536.45312,18.2322715093
 03/13  01:00:00,12.8,0,0,18.5312695098
 03/13  02:00:00,11.425,0,0,18.4285331673
 03/13  03:00:00,10.6,0,0,18.1587137275
 03/13  04:00:00,9.85,0,0,17.9198101527
 03/13  05:00:00,8.7125,0,0,17.6412673424
 03/13  06:00:00,8.3,0,0,20.433922388
 03/13  07:00:00,8.3,0.74322432,321072.90624,20.8281336021
 03/13  08:00:00,11.8,1.48644864,642145.812480001,21.1435114671
 03/13  09:00:00,14.9625,7.06063104,3050192.60928,21.4307141112
 03/13  10:00:00,15.9125,7.06063104,3050192.60928,21.6070869981
 03/13  11:00:00,16.475,7.06063104,3050192.60928,21.7609959169
 03/13  12:00:00,18.075,7.06063104,3050192.60928,21.8750724129
 03/13  13:00:00,19.9625,3.7161216,1605364.5312,21.9897798766
 03/13  14:00:00,21.975,7.06063104,3050192.60928,22.351271383
 03/13  15:00:00,22.8,7.06063104,3050192.60928,22.7658943954
 03/13  16:00:00,23.4875,7.06063104,3050192.60928,23.1793800529
 03/13  17:00:00,23.2125,7.06063104,3050192.60928,23.1182992097
 03/13  18:00:00,21.05,5.20257024,2247510.34368,22.3062691355
 03/13  19:00:00,17.9375,2.97289728,1284291.62496,22.0277559935
 03/13  20:00:00,16.325,2.97289728,1284291.62496,19.4075417881
 03/13  21:00:00,15.4125,0.74322432,321072.90624,19.2629269844
 03/13  22:00:00,14.625,0.74322432,321072.90624,18.7932630173
 03/13  23:00:00,13.7125,0.37161216,160536.45312,18.6242774301
 03/13  24:00:00,12.6125,0.37161216,160536.45312,18.1870737887
 03/14  01:00:00,11.8875,0,0,18.5128732813
 03/14  02:00:00,11.325,0,0,18.5045359185
 03/14  03:00:00,10.4125,0,0,18.2942342197
 03/14  04:00:00,10,0,0,18.0865598596
 03/14  05:00:00,9.3125,0,0,17.8819855985
 03/14  06:00:00,8.2125,0,0,20.5254866813
 03/14  07:00:00,8.4875,0.74322432,321072.90624,20.8758077832
 03/14  08:00:00,10.275,1.48644864,642145.812480001,21.1125663346
 03/14  09:00:00,12.85,7.06063104,3050192.60928,21.393288173
 03/14  10:00:00,14.9625,7.06063104,3050192.60928,21.5812259641
 03/14  11:00:00,15.9125,7.06063104,3050192.60928,21.7545730586
 03/14  12:00:00,16.7875,7.06063104,3050192.60928,21.8619355554
 03/14  13:00:00,17.8875,3.7161216,1605364.5312,21.9528952954
 03/14  14:00:00,19.7375,7.06063104,3050192.60928,22.140572602
 03/14  15:00:00,21.6,7.06063104,3050192.60928,22.2573353801
 03/14  16:00:00,20.1375,7.06063104,3050192.60928,22.2185986022
 03/14  17:00:00,18.2125,7.06063104,3050192.60928,22.1727609631
 03/14  18:00:00,15.675,5.20257024,2247510.34368,22.0570590663
 03/14  19:00:00,14.0875,2.97289728,1284291.62496,21.8910951904
 03/14  20:00:00,13.525,2.97289728,1284291.62496,17.9911514301
 03/14  21:00:00,12.9875,0.74322432,321072.90624,18.1163360954
 03/14  22:00:00,11.7375,0.74322432,321072.90624,17.6049584129
 03/14  23:00:00,11.1,0.37161216,160536.45312,17.5396359177
 03/14  24:00:00,10.7875,0.37161216,160536.45312,17.316902056
 03/15  01:00:00,9.85,0,0,17.8120165003
 03/15  02:00:00,9.4,0,0,17.8713133123
 03/15  03:00:00,8.7125,0,0,17.7275447112
 03/15  04:00:00,9.3625,0,0,17.636120609
 03/15  05:00:00,10,0,0,17.611063708
 03/15  06:00:00,9.625,0,0,20.4355718571
 03/15  07:00:00,9.4,0.74322432,321072.90624,20.8198136073
 03/15  08:00:00,10.4625,1.48644864,642145.812480001,21.0422626046
 03/15  09:00:00,12.1625,7.06063104,3050192.60928,21.3796550531
 03/15  10:00:00,13.4875,7.06063104,3050192.60928,21.5835852506
 03/15  11:00:00,14.9625,7.06063104,3050192.60928,21.7512625178
 03/15  12:00:00,15.9125,7.06063104,3050192.60928,21.8543206846
 03/15  13:00:00,16.1,3.7161216,1605364.5312,21.906144591
 03/15  14:00:00,16.7875,7.06063104,3050192.60928,22.0562285657
 03/15  15:00:00,17.2,7.06063104,3050192.60928,22.0414081596
 03/15  16:00:00,16.8875,7.06063104,3050192.60928,22.035290555
 03/15  17:00:00,16.325,7.06063104,3050192.60928,22.0063529178
 03/15  18:00:00,15.0375,5.20257024,2247510.34368,21.8892815037
 03/15  19:00:00,14.4,2.97289728,1284291.62496,21.7550180612
 03/15  20:00:00,13.7125,2.97289728,1284291.62496,17.9737802639
 03/15  21:00:00,13.3,0.74322432,321072.90624,18.0665666126
 03/15  22:00:00,12.9875,0.74322432,321072.90624,17.8360150074
 03/15  23:00:00,12.8,0.37161216,160536.45312,17.9068730887
 03/15  24:00:00,13.1125,0.37161216,160536.45312,17.8443674113
 03/16  01:00:00,13.3,0,0,18.3196491113
 03/16  02:00:00,13.675,0,0,18.4589080625
 03/16  03:00:00,13.525,0,0,18.4342609286
 03/16  04:00:00,13.3,0,0,18.3724608973
 03/16  05:00:00,13.3,0,0,18.3397558874
 03/16  06:00:00,12.9875,0,0,20.6682420448
 03/16  07:00:00,12.8,0.74322432,321072.90624,20.9697680252
 03/16  08:00:00,12.8,1.48644864,642145.812480001,21.1123350026
 03/16  09:00:00,12.8,7.06063104,3050192.60928,21.2723934699
 03/16  10:00:00,13.1125,7.06063104,3050192.60928,21.3399932089
 03/16  11:00:00,13.675,7.06063104,3050192.60928,21.5514664522
 03/16  12:00:00,13.9,7.06063104,3050192.60928,21.6302753515
 03/16  13:00:00,13.9,3.7161216,1605364.5312,21.6600810296
 03/16  14:00:00,13.9,7.06063104,3050192.60928,21.7910034694
 03/16  15:00:00,13.9,7.06063104,3050192.60928,21.8148108795
 03/16  16:00:00,14.2125,7.06063104,3050192.60928,21.8067441744
 03/16  17:00:00,13.7125,7.06063104,3050192.60928,21.7989053608
 03/16  18:00:00,12.6125,5.20257024,2247510.34368,21.7243199729
 03/16  19:00:00,11.8875,2.97289728,1284291.62496,21.5965033267
 03/16  20:00:00,11.0125,2.97289728,1284291.62496,17.2942758291
 03/16  21:00:00,10.6,0.74322432,321072.90624,17.0823978399
 03/16  22:00:00,10.6,0.74322432,321072.90624,16.7638651621
 03/16  23:00:00,10.6,0.37161216,160536.45312,16.9549002013
 03/16  24:00:00,10.225,0.37161216,160536.45312,16.7861076976
 03/17  01:00:00,10,0,0,17.368891
 03/17  02:00:00,9.625,0,0,17.5045415581
 03/17  03:00:00,9.0875,0,0,17.4055954506
 03/17  04:00:00,8.525,0,0,17.2732192549
 03/17  05:00:00,7.3,0,0,17.0738486028
 03/17  06:00:00,6.7,0,0,16.8772664047
 03/17  07:00:00,7.0125,0.74322432,321072.90624,20.2439730179
 03/17  08:00:00,9.325,0.74322432,321072.90624,20.8449857732
 03/17  09:00:00,11.975,3.7161216,1605364.5312,21.1509438335
 03/17  10:00:00,13.1125,3.7161216,1605364.5312,21.358064012
 03/17  11:00:00,13.675,3.7161216,1605364.5312,21.5315234401
 03/17  12:00:00,14.2125,3.7161216,1605364.5312,21.6635527488
 03/17  13:00:00,15.4625,3.7161216,1605364.5312,21.8114667607
 03/17  14:00:00,16.475,3.7161216,1605364.5312,21.9441548767
 03/17  15:00:00,17.3875,0.74322432,321072.90624,21.9290966847
 03/17  16:00:00,15.675,0.74322432,321072.90624,21.9221978324
 03/17  17:00:00,14.0875,0.74322432,321072.90624,21.8664219899
 03/17  18:00:00,13.2125,0,0,20.993202098
 03/17  19:00:00,12.1125,0,0,20.2852189962
 03/17  20:00:00,11.7,0,0,19.8439655713
 03/17  21:00:00,11.325,0,0,19.4726604012
 03/17  22:00:00,11.1,0,0,19.1377849778
 03/17  23:00:00,11.1,0,0,18.8667431122
 03/17  24:00:00,11.1,0,0,18.6388604579
 03/18  01:00:00,11.1,0,0,18.4478065033
 03/18  02:00:00,10.7875,0,0,18.2571114834
 03/18  03:00:00,10.9125,0,0,18.1071577153
 03/18  04:00:00,11.1,0,0,18.0046706152
 03/18  05:00:00,10.7875,0,0,17.8748925531
 03/18  06:00:00,10.6,0,0,17.7529034086
 03/18  07:00:00,10.9125,0,0,17.7549922169
 03/18  08:00:00,11.7875,0,0,17.9875841697
 03/18  09:00:00,12.8875,0,0,18.2457767738
 03/18  10:00:00,12.9875,0,0,18.6143023709
 03/18  11:00:00,13.4875,0,0,18.8107710976
 03/18  12:00:00,14.2125,0,0,19.1504979068
 03/18  13:00:00,14.0875,0,0,19.3364176727
 03/18  14:00:00,14.9625,0,0,19.6513740404
 03/18  15:00:00,15.9125,0,0,19.7475608918
 03/18  16:00:00,15.4125,0,0,19.7564999035
 03/18  17:00:00,14.3125,0,0,19.6721148134
 03/18  18:00:00,13.2125,0,0,19.4860094743
 03/18  19:00:00,12.1125,0,0,19.160385817
 03/18  20:00:00,11.325,0,0,18.8743096308
 03/18  21:00:00,11.475,0,0,18.6490434985
 03/18  22:00:00,12.0125,0,0,18.4799739013
 03/18  23:00:00,11.8875,0,0,18.2992247485
 03/18  24:00:00,11.325,0,0,18.099897807
 03/19  01:00:00,10.7875,0,0,17.921963971
 03/19  02:00:00,9.85,0,0,17.7294371465
 03/19  03:00:00,9.775,0,0,17.5830133819
 03/19  04:00:00,10,0,0,17.5006520832
 03/19  05:00:00,9.3125,0,0,17.3628577227
 03/19  06:00:00,8.525,0,0,20.3382108821
 03/19  07:00:00,8.3,0.74322432,321072.90624,20.7717771389
 03/19  08:00:00,9.3625,1.48644864,642145.812480001,21.0801468799
 03/19  09:00:00,10.375,7.06063104,3050192.60928,21.3577067164
 03/19  10:00:00,11.2875,7.06063104,3050192.60928,21.520753675
 03/19  11:00:00,12.3875,7.06063104,3050192.60928,21.6314574727
 03/19  12:00:00,13.4875,7.06063104,3050192.60928,21.6754679147
 03/19  13:00:00,14.2125,3.7161216,1605364.5312,21.7804913714
 03/19  14:00:00,15.15,7.06063104,3050192.60928,21.9113009886
 03/19  15:00:00,15.225,7.06063104,3050192.60928,21.9149535792
 03/19  16:00:00,14.3125,7.06063104,3050192.60928,21.922782797
 03/19  17:00:00,13.525,7.06063104,3050192.60928,21.890202969
 03/19  18:00:00,12.6125,5.20257024,2247510.34368,21.7915484191
 03/19  19:00:00,11.8875,2.97289728,1284291.62496,21.6329319922
 03/19  20:00:00,11.325,2.97289728,1284291.62496,17.3060473135
 03/19  21:00:00,10.7875,0.74322432,321072.90624,17.1190272115
 03/19  22:00:00,10.6,0.74322432,321072.90624,16.7340503557
 03/19  23:00:00,10.6,0.37161216,160536.45312,16.8956819614
 03/19  24:00:00,10.225,0.37161216,160536.45312,16.7064116516
 03/20  01:00:00,9.625,0,0,17.2429905471
 03/20  02:00:00,9.4,0,0,17.3559790415
 03/20  03:00:00,9.0875,0,0,17.2651374388
 03/20  04:00:00,8.2125,0,0,17.1000299526
 03/20  05:00:00,7.425,0,0,16.9112405057
 03/20  06:00:00,7.575,0,0,20.2000394296
 03/20  07:00:00,7.8,0.74322432,321072.90624,20.7027711315
 03/20  08:00:00,9.8625,1.48644864,642145.812480001,21.0407741249
 03/20  09:00:00,12.475,7.06063104,3050192.60928,21.3275560803
 03/20  10:00:00,13.9875,7.06063104,3050192.60928,21.5058387823
 03/20  11:00:00,14.4,7.06063104,3050192.60928,21.6577983388
 03/20  12:00:00,14.775,7.06063104,3050192.60928,21.7456548965
 03/20  13:00:00,15.375,3.7161216,1605364.5312,21.8563073371
 03/20  14:00:00,15.225,7.06063104,3050192.60928,21.9649547882
 03/20  15:00:00,14.625,7.06063104,3050192.60928,21.9149874626
 03/20  16:00:00,13.7125,7.06063104,3050192.60928,21.8900118865
 03/20  17:00:00,12.9875,7.06063104,3050192.60928,21.8453041572
 03/20  18:00:00,12.1125,5.20257024,2247510.34368,21.7414551175
 03/20  19:00:00,11.325,2.97289728,1284291.62496,21.5866548804
 03/20  20:00:00,10.7875,2.97289728,1284291.62496,17.2560993405
 03/20  21:00:00,10.6,0.74322432,321072.90624,17.0038562558
 03/20  22:00:00,10.6,0.74322432,321072.90624,16.6554915362
 03/20  23:00:00,10.6,0.37161216,160536.45312,16.8197040811
 03/20  24:00:00,10.6,0.37161216,160536.45312,16.7034328587
 03/21  01:00:00,10.6,0,0,17.2918370865
 03/21  02:00:00,10.9125,0,0,17.4735367771
 03/21  03:00:00,10.7875,0,0,17.4454108085
 03/21  04:00:00,10.9125,0,0,17.399443898
 03/21  05:00:00,10.4125,0,0,17.321553532
 03/21  06:00:00,10,0,0,20.3147112365
 03/21  07:00:00,10.6875,0.74322432,321072.90624,20.7092688173
 03/21  08:00:00,12.1625,1.48644864,642145.812480001,20.8451962744
 03/21  09:00:00,12.425,7.06063104,3050192.60928,21.0295958879
 03/21  10:00:00,13.575,7.06063104,3050192.60928,21.2717526863
 03/21  11:00:00,14.4,7.06063104,3050192.60928,21.3989812357
 03/21  12:00:00,15.15,7.06063104,3050192.60928,21.5971525954
 03/21  13:00:00,15.6,3.7161216,1605364.5312,21.6942514256
 03/21  14:00:00,15.225,7.06063104,3050192.60928,21.8101806724
 03/21  15:00:00,14.3125,7.06063104,3050192.60928,21.8071915405
 03/21  16:00:00,13.525,7.06063104,3050192.60928,21.7975078133
 03/21  17:00:00,12.3,7.06063104,3050192.60928,21.7552775105
 03/21  18:00:00,11.325,5.20257024,2247510.34368,21.6531187297
 03/21  19:00:00,10.7875,2.97289728,1284291.62496,21.5191394493
 03/21  20:00:00,10.225,2.97289728,1284291.62496,17.19267664
 03/21  21:00:00,10,0.74322432,321072.90624,16.7942464565
 03/21  22:00:00,10,0.74322432,321072.90624,16.4305270778
 03/21  23:00:00,9.625,0.37161216,160536.45312,16.5611285638
 03/21  24:00:00,9.0875,0.37161216,160536.45312,16.3144057649
 03/22  01:00:00,8.9,0,0,16.9747480363
 03/22  02:00:00,8.525,0,0,17.1381542321
 03/22  03:00:00,8.3,0,0,17.066521655
 03/22  04:00:00,8.675,0,0,17.0218297749
 03/22  05:00:00,8.525,0,0,16.9541285715
 03/22  06:00:00,8.3,0,0,20.2127129094
 03/22  07:00:00,7.3,0.74322432,321072.90624,20.678494893
 03/22  08:00:00,8.3875,1.48644864,642145.812480001,20.8776778884
 03/22  09:00:00,8.025,7.06063104,3050192.60928,21.0465747741
 03/22  10:00:00,8.575,7.06063104,3050192.60928,21.2356583585
 03/22  11:00:00,10.15,7.06063104,3050192.60928,21.3405716276
 03/22  12:00:00,10.9125,7.06063104,3050192.60928,21.3552643551
 03/22  13:00:00,11.1,3.7161216,1605364.5312,21.4503250246
 03/22  14:00:00,11.1,7.06063104,3050192.60928,21.5564852172
 03/22  15:00:00,11.1,7.06063104,3050192.60928,21.525437309
 03/22  16:00:00,10.7875,7.06063104,3050192.60928,21.5415537362
 03/22  17:00:00,10.225,7.06063104,3050192.60928,21.5238129664
 03/22  18:00:00,9.625,5.20257024,2247510.34368,21.4608109807
 03/22  19:00:00,9.0875,2.97289728,1284291.62496,21.3599395889
 03/22  20:00:00,8.9,2.97289728,1284291.62496,17.0690184193
 03/22  21:00:00,8.525,0.74322432,321072.90624,16.4957379985
 03/22  22:00:00,8.3,0.74322432,321072.90624,16.2850025177
 03/22  23:00:00,7.3,0.37161216,160536.45312,16.1273770304
 03/22  24:00:00,7.0125,0.37161216,160536.45312,16.0106676199
 03/23  01:00:00,6.8875,0,0,16.5448508232
 03/23  02:00:00,5.6375,0,0,16.5434825034
 03/23  03:00:00,5.6875,0,0,16.406173254
 03/23  04:00:00,5.4125,0,0,16.2823897716
 03/23  05:00:00,4.625,0,0,16.0857636162
 03/23  06:00:00,4.4,0,0,19.9310158033
 03/23  07:00:00,5.15,0.74322432,321072.90624,20.4479183068
 03/23  08:00:00,6.975,1.48644864,642145.812480001,20.6080055993
 03/23  09:00:00,9.175,7.06063104,3050192.60928,20.7970906799
 03/23  10:00:00,10.375,7.06063104,3050192.60928,20.9355806726
 03/23  11:00:00,11.2875,7.06063104,3050192.60928,21.0633008764
 03/23  12:00:00,12.3875,7.06063104,3050192.60928,21.2072545159
 03/23  13:00:00,13.4875,3.7161216,1605364.5312,21.3824533453
 03/23  14:00:00,13.525,7.06063104,3050192.60928,21.4480014262
 03/23  15:00:00,13.3,7.06063104,3050192.60928,21.4807563045
 03/23  16:00:00,13.3,7.06063104,3050192.60928,21.5133255608
 03/23  17:00:00,12.9875,7.06063104,3050192.60928,21.4924489839
 03/23  18:00:00,12.425,5.20257024,2247510.34368,21.4350269605
 03/23  19:00:00,11.8875,2.97289728,1284291.62496,21.3535778736
 03/23  20:00:00,11.325,2.97289728,1284291.62496,17.1025699244
 03/23  21:00:00,11.1,0.74322432,321072.90624,16.8740624783
 03/23  22:00:00,11.1,0.74322432,321072.90624,16.5851327265
 03/23  23:00:00,11.1,0.37161216,160536.45312,16.7593435213
 03/23  24:00:00,11.475,0.37161216,160536.45312,16.7333943051
 03/24  01:00:00,11.7,0,0,17.2928872206
 03/24  02:00:00,11.0125,0,0,17.397674821
 03/24  03:00:00,10.6,0,0,17.3230337921
 03/24  04:00:00,10.225,0,0,17.2433079278
 03/24  05:00:00,10,0,0,17.1522543601
 03/24  06:00:00,10,0,0,17.0831413641
 03/24  07:00:00,10.375,0.74322432,321072.90624,20.2484466055
 03/24  08:00:00,10.9125,0.74322432,321072.90624,20.7062194336
 03/24  09:00:00,11.7875,3.7161216,1605364.5312,20.9494037031
 03/24  10:00:00,12.575,3.7161216,1605364.5312,21.0456285858
 03/24  11:00:00,13.1125,3.7161216,1605364.5312,21.1222313567
 03/24  12:00:00,13.675,3.7161216,1605364.5312,21.2073555576
 03/24  13:00:00,13.9,3.7161216,1605364.5312,21.2541174657
 03/24  14:00:00,13.525,3.7161216,1605364.5312,21.2963261566
 03/24  15:00:00,12.6125,0.74322432,321072.90624,21.2949933371
 03/24  16:00:00,11.5125,0.74322432,321072.90624,21.2719932875
 03/24  17:00:00,10.7875,0.74322432,321072.90624,21.2486204544
 03/24  18:00:00,10.225,0,0,19.7071563944
 03/24  19:00:00,10,0,0,18.8383015136
 03/24  20:00:00,9.625,0,0,18.4775013833
 03/24  21:00:00,9.0875,0,0,18.1360313955
 03/24  22:00:00,8.525,0,0,17.8505647213
 03/24  23:00:00,8.3,0,0,17.6191958176
 03/24  24:00:00,8.3,0,0,17.4599403686
 03/25  01:00:00,8.3,0,0,17.3127976467
 03/25  02:00:00,8.3,0,0,17.1776192175
 03/25  03:00:00,7.9875,0,0,17.032171422
 03/25  04:00:00,7.8,0,0,16.8930547581
 03/25  05:00:00,7.8,0,0,16.7762718939
 03/25  06:00:00,7.425,0,0,16.6443358816
 03/25  07:00:00,7.2,0,0,16.6210053894
 03/25  08:00:00,8.2625,0,0,16.9699324629
 03/25  09:00:00,9.2125,0,0,17.3351423896
 03/25  10:00:00,10.4625,0,0,17.8621111681
 03/25  11:00:00,12.1625,0,0,18.3151204969
 03/25  12:00:00,12.8,0,0,18.7041382396
 03/25  13:00:00,13.4875,0,0,19.1118825666
 03/25  14:00:00,13.9,0,0,19.293089766
 03/25  15:00:00,13.9,0,0,19.4166154723
 03/25  16:00:00,13.525,0,0,19.5096788717
 03/25  17:00:00,12.9875,0,0,19.3562653711
 03/25  18:00:00,12.1125,0,0,19.1045276781
 03/25  19:00:00,11.0125,0,0,18.7465624567
 03/25  20:00:00,10.6,0,0,18.4378869447
 03/25  21:00:00,10.6,0,0,18.1796597827
 03/25  22:00:00,10.6,0,0,17.940701732
 03/25  23:00:00,10.6,0,0,17.726879726
 03/25  24:00:00,10.6,0,0,17.5433092631
 03/26  01:00:00,10.6,0,0,17.4036231968
 03/26  02:00:00,10.9125,0,0,17.3064385763
 03/26  03:00:00,11.1,0,0,17.2345409078
 03/26  04:00:00,11.1,0,0,17.1672568331
 03/26  05:00:00,10.7875,0,0,17.092972722
 03/26  06:00:00,10.9125,0,0,20.2223152147
 03/26  07:00:00,11.1,0.74322432,321072.90624,20.656271166
 03/26  08:00:00,11.475,1.48644864,642145.812480001,20.8822498365
 03/26  09:00:00,12.7,7.06063104,3050192.60928,21.1790423752
 03/26  10:00:00,14.3625,7.06063104,3050192.60928,21.3905911894
 03/26  11:00:00,15,7.06063104,3050192.60928,21.5915925335
